DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT18R,DA0912DR18R,DAGC4X18R,DAGC5X17R,DAGC6X16R,DA0GR18N,DA0GS18N,DDA00A001S19R,DDA00A001219R,DDA00A001319R,DDA00AR01S19R,DDA00AR01219R,DDA00AR01319R,DDA00AW01S19R,DDA00AW01219R,DDA00AW01319R,DDA00AM01S19R,DDA00AM01219R,DDA00AM01319R,DDA00AC01S19R,DDA00AC01219R,DDA00AC01319R,DDA00AS01S19R,DDA00AS01219R,DDA00AS01319R,DDB00A001S19R,DDB00A001219R,DDB00A001319R,DDH00A001S19R,DDH00A001219R,DDH00A001319R,DDW00A001S19R,DDW00A001219R,DDW00A001319R,DDI00A001S19R,DDI00A001219R,DDI00A001319R,DD300A001S19R,DD300A001219R,DD300A001319R,DD400A001S19R,DD400A001219R,DD400A001319R,DD200A001S19R,DD200A001219R,DD200A001319R,DDE00A001S19R,DDE00A001219R,DDE00A001319R,DA0CT18R,DA0CC18R,DA0CSA18R,DA0CAA18R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
CAYUGA ISD,001902,001 ANDERSON,07,A,3,564,3.5,6.7,84.8,0,0.5,0,4.4,42.6,0.2,14.9,0.2,30.9,8.5,96.5,0.0,100,97.8,95.7,39,31,85,61,29,82,60,29,80,52,18,89,70,36,87,61,25,80,47,20,63,46,17,82,56,21,85,62,29,.,.,.,71,43,29,.,.,.,85,64,40,80,53,25,38.5,53.3,1109,22.2,97.4,49.7,3.1,3.3,4.6,51,11.5,26.4,63570,73109,51962,48089,14.1,5.8,11.3,11.8,16.3,11.1,7.8,7.8,2,90.2,0,81.2,12.2,0,0,6.6,0,444919,1.04,8394939,14600,8348044,39,41.7,19.3,46895,1383126,0,8467160,8325066,14478,54.8,8.3,3.6,7.5,25.8,4561628,7933,32,36.6,3.1,0.1,2.8,0.1,3.6,0.6,0.3,20.8,500 to 999,Rural,"$442,675 to < $456,961",Under $1.1701
ELKHART ISD,001903,001 ANDERSON,07,A,5,1254,5.4,11.3,78.1,0.6,0.3,0.2,4.1,58.1,2.3,10.7,2.1,32.1,3.6,96.4,0.0,94.7,97.8,100,74,69,84,56,27,79,51,23,84,54,17,89,60,31,85,59,25,86,65,40,54,26,7,85,56,29,86,59,27,-1,-1,-1,100,100,86,-1,-1,-1,79,52,24,77,43,18,44.6,48.5,1096,-1,185.2,106,1.1,2.7,3.8,57.2,15.9,19.3,95078,69437,52389,45273,10.5,6.8,11.8,15.1,15.2,17,11.7,0.9,3.8,95.3,0,74.8,11.6,2.9,0.1,8.7,1.9,206596,1.36,12903698,10465,12045200,63.3,29.9,6.9,858498,2629478,0,12615794,11503115,9329,61.6,5.9,4.8,10.8,16.9,7086905,5748,46.2,9.3,6.6,0,7.8,0.1,3.4,1,0,25.7,"1,000 to 1,599",Non-metropolitan Stable,"$164,221 to < $208,918",$1.3050 to under $1.4272
FRANKSTON ISD,001904,001 ANDERSON,07,B,3,803,8.2,8.2,78.2,0.6,1,0,3.7,53.7,2.9,11.5,2.9,32,8.8,95.4,0.4,96.7,100,100,58,54,81,53,25,78,49,21,79,47,11,83,56,28,87,61,26,85,58,40,66,31,8,80,50,23,83,58,27,100,43,29,50,40,20,.,.,.,83,42,21,75,42,18,62.1,44.4,1070,22.8,129.6,64.5,2.3,3.2,4.2,49.7,16.2,24.4,90593,67223,53345,44816,13.3,6.2,12.5,32.5,13.5,24.7,30.5,9.3,4.7,84.5,1.6,83.6,6.3,1.6,0,8.5,0,274814,1.57,10008591,11478,8869399,58.9,34.1,7,1139192,1533977,0,9324661,8406173,9640,51.4,8.6,4.8,13.4,21.7,4322491,4957,40.1,7.6,7.6,0,6.9,0.1,7.3,1,1.1,28.2,500 to 999,Rural,"$272,534 to < $299,260",$1.4272 and over
NECHES ISD,001906,001 ANDERSON,07,A,2,366,8.5,13.9,73.2,0.3,0,0,4.1,47.8,1.9,8.7,1.9,43.7,6,95.9,0.9,95.8,100,94.3,22,17,86,52,22,87,50,19,68,24,8,92,56,23,86,63,38,83,56,17,77,29,14,77,37,13,90,58,25,.,.,.,.,.,.,.,.,.,76,35,12,82,42,15,50,45.5,1124,20.6,63.9,33.5,7.1,4.7,3.1,52.4,12.5,20.2,51336,73626,47950,45754,12.5,5.7,10.9,26.9,13.4,1.4,14.4,3,0,97,0,80.6,6.2,0.9,0,10.4,1.9,274459,1.458,4221348,11726,3826582,57.6,34,8.4,394766,603737,0,4515458,4046814,11241,52.2,7.7,9.1,13.3,17.6,2111408,5865,36.7,12,10.2,0.1,4,0.3,0,1.2,0.5,35.1,Under 500,Rural,"$272,534 to < $299,260",$1.4272 and over
PALESTINE ISD,001907,001 ANDERSON,07,B,6,3389,26.6,41.2,27.5,0.1,0.9,0.1,3.6,74.9,17.8,10.7,16.5,31.6,2.9,95.3,0.0,96.8,98.6,96.1,216,205,72,42,18,67,39,15,58,28,10,80,49,24,74,43,16,73,41,19,63,29,9,73,41,17,79,54,27,-1,-1,-1,82,74,56,.,.,.,72,43,20,67,36,14,36.6,50.6,1088,22.8,491.7,254.3,2,3.7,5.7,51.7,16.6,20.3,92301,64623,58229,42467,28.5,6.9,13.3,34.3,11.5,14,26.1,10.1,12.6,74.9,2.4,78.4,7.9,4.1,1.8,7.5,0.4,301975,1.548,42101207,12332,37245496,44.3,37.5,18.3,4855711,8097894,0,40147168,35336755,10351,52.9,9.2,6.4,10.3,21.2,18700250,5478,46.6,6.1,8.1,0.6,3.9,0.2,3.4,0.7,2.1,28.3,"3,000 to 4,999",Independent Town,"$299,260 to < $316,695",$1.4272 and over
WESTWOOD ISD,001908,001 ANDERSON,07,B,4,1518,17.1,25.2,52.6,0.8,0.6,0,3.6,61.5,5.8,12.3,5.5,26.7,2.4,95.7,0.4,99,99,94.5,101,89,67,36,14,62,35,12,56,29,10,71,37,16,75,42,16,71,40,16,56,24,6,65,33,13,72,43,18,40,10,10,100,50,30,.,.,.,59,25,7,63,32,12,40.6,31.7,1023,20.5,247.7,123.5,0.8,3.3,3.2,49.8,15.3,27.5,110672,54847,54672,40781,20.5,6.1,12.3,46,9.3,10.4,37,5.2,2.4,89.2,3.2,79.9,8.8,1.6,0.3,6.9,2.5,312390,1.17,16164041,10368,16164041,49.2,39.2,11.6,0,4055071,0,15689565,14951597,9591,52.7,7.9,6.5,11.1,21.9,7871923,5049,41.9,9.7,9.1,0.1,3.4,0.3,4.4,0.8,0,30.3,"1,000 to 1,599",Non-metropolitan Stable,"$299,260 to < $316,695",Under $1.1701
SLOCUM ISD,001909,001 ANDERSON,07,A,2,406,2,6.4,87.2,0.2,0.7,0,3.4,45.8,1,12.3,1,39.4,5.2,97.4,0.0,100,100,100,27,25,89,55,22,88,58,24,90,44,14,88,46,14,98,71,30,88,61,32,89,56,17,92,65,33,89,54,20,.,.,.,75,25,25,.,.,.,100,83,35,86,47,17,55.6,26.7,1063,19.3,67.6,40.2,3,3,5.6,59.6,5.7,23.2,75437,77861,46317,46335,0,6,10.1,9.9,16.3,20.5,14.6,0,0,97.5,2.5,69.8,4.3,10.7,0,9.4,5.8,257877,1.188,4913305,11615,4732964,61.2,32.3,6.6,180341,872151,0,5211550,4242656,10030,59.8,6.5,5.7,13.2,14.7,2538238,6001,39.4,8.9,13.4,0.2,6.9,0.2,3.3,0.8,0,27,Under 500,Rural,"$250,173 to < $272,534",$1.1701 to under $1.3050
ANDREWS ISD,002901,002 ANDREWS,18,C,6,4314,0.8,67.5,29.1,0.5,0.4,0,1.7,41,12.1,8,14,21.7,5.4,96.4,0.5,95,97.1,98.1,228,187,74,43,19,71,40,16,63,30,9,79,49,24,76,45,16,73,46,26,48,22,7,70,38,15,81,53,27,75,48,19,88,65,41,-1,-1,-1,88,56,25,63,30,11,47.8,36.7,1069,20.9,508.3,264.2,1.4,2.4,6,52,12.1,26,120137,82634,64784,56361,38.2,8.5,16.3,20.2,13.9,25.8,13.2,0.8,22.2,74.9,2.1,68,6.7,4.9,9.3,5,6.2,826110,1.2,53309793,13124,45806534,15.7,78.5,5.8,7503259,27959259,0,45098247,38535346,9487,55,7.4,5.4,11.8,20.5,21173561,5213,44,11.2,9.1,0.6,2.6,0.7,3.9,0.7,0,27.3,"3,000 to 4,999",Other Central City Suburban,"$786,525 and over",$1.1701 to under $1.3050
PINEYWOODS COMMUNITY ACADEMY,003801,003 ANGELINA,07,A,3,1022,15.1,27.2,52.9,0,1.5,0.1,3.2,51,4.8,8,4.8,14.7,9.4,95.7,0.4,97.9,100,100,45,40,86,56,28,84,54,25,76,40,13,88,57,31,95,72,38,80,53,31,79,44,20,80,43,19,91,66,35,.,.,.,88,75,75,.,.,.,78,52,24,81,45,19,53.3,41.7,1083,21.7,131.9,65,3.8,6.1,7.6,49.3,8.3,24.9,96161,66296,58611,48355,25.2,7.7,15.7,40,9.2,23.1,26.9,10.8,6.2,83.1,0,87,7.3,3.1,0,2.6,0,0,0,10163496,9964,10163496,89,4,7,0,0,2583548,9331572,9091361,8913,60.4,11.1,6.6,8.1,13.8,5490724,5383,58.6,6.1,6.4,0,0,0.5,1,0,0,27.4,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
HUDSON ISD,003902,003 ANGELINA,07,B,5,2957,7.6,25.6,63,0.7,0.7,0,2.4,54.4,6.1,8.6,5.7,32,5.3,96.3,1.3,96.1,96.3,94.8,204,167,86,60,31,84,55,25,70,37,17,91,68,40,90,65,32,89,71,42,69,33,11,83,53,26,89,66,36,70,36,12,100,77,49,.,.,.,81,54,26,80,47,21,56.9,62.1,1133,23.7,394.9,198.1,1,4,5.6,50.2,7.9,31.4,103436,72347,61010,48210,17.5,7.5,14.9,22.8,13.5,22.5,13,1,4,94.4,0.5,68,9.2,7.6,0.6,7.9,6.7,157044,1.28,27944643,9673,27028928,64.4,27.3,8.3,915715,5846528,0,30049328,25020407,8661,57.8,4.5,6.3,11.2,20.2,14465275,5007,41.1,8.9,8.9,0.8,4.7,3.2,2.2,1.5,2.2,26.7,"1,600 to 2,999",Non-metropolitan Stable,"$123,158 to < $164,221",$1.1701 to under $1.3050
