DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT19R,DA0912DR19R,DAGC4X19R,DAGC5X18R,DAGC6X17R,DA0GR19N,DA0GS19N,DDA00A001S20R,DDA00A001220R,DDA00A001320R,DDA00AR01S20R,DDA00AR01220R,DDA00AR01320R,DDA00AW01S20R,DDA00AW01220R,DDA00AW01320R,DDA00AM01S20R,DDA00AM01220R,DDA00AM01320R,DDA00AC01S20R,DDA00AC01220R,DDA00AC01320R,DDA00AS01S20R,DDA00AS01220R,DDA00AS01320R,DDB00A001S20R,DDB00A001220R,DDB00A001320R,DDH00A001S20R,DDH00A001220R,DDH00A001320R,DDW00A001S20R,DDW00A001220R,DDW00A001320R,DDI00A001S20R,DDI00A001220R,DDI00A001320R,DD300A001S20R,DD300A001220R,DD300A001320R,DD400A001S20R,DD400A001220R,DD400A001320R,DD200A001S20R,DD200A001220R,DD200A001320R,DDE00A001S20R,DDE00A001220R,DDE00A001320R,DA0CT19R,DA0CC19R,DA0CSA19R,DA0CAA19R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
CAYUGA ISD,001902,001 ANDERSON,07,Not Rated: Declared State of Disaster,3,557,3.1,8.1,84,0,0.4,0,4.5,40.9,0.2,14.7,0.2,29.6,7,96.7,0.5,96,97.5,97.8,48,41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,62.5,1083,-1,99.7,50.4,3.3,3.2,5.8,50.5,12.2,24.9,65669,79162,53693,55115,14.7,5.6,11.1,9.7,17.3,9,5.9,7.7,1.9,90.3,0,0,0,0,82.8,10.9,0,0,6.3,0,497749,1.17,9316624,16519,9291926,37.3,42.5,20.2,24698,1720970,0,8985224,8558886,15175,54.3,8.5,3.6,9,24.6,4649118,8243,32.5,35.1,3.2,0.1,2.9,0.1,3.6,0.5,0.4,21.7,500 to 999,Rural,"$483,611 to < $530,196",Under $1.1701
ELKHART ISD,001903,001 ANDERSON,07,Not Rated: Declared State of Disaster,4,1246,4.9,11.8,78.4,0.4,0.3,0.1,4.1,53,1.8,11.8,1.8,30.3,3.5,96.4,0.0,96.4,100,97.8,80,64,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40,40.6,1075,21.9,186.6,101.4,0.5,3.2,4.3,54.4,17.4,20.2,121000,69398,57090,48064,9.6,6.7,12.3,20.2,14.0,15.8,21.7,1,3.9,95.1,0,0,0,0,75.5,10.4,3.4,0,8.7,2,217766,1.36,13565792,10818,12696158,63,28.9,8.1,869634,3459096,0,12905901,11696322,9327,60.2,6.6,4.9,10.8,17.4,7043892,5617,45.4,8.8,6.8,0,7.3,0,2.9,0.9,0,27.9,"1,000 to 1,599",Non-metropolitan Stable,"$178,741 to < $225,013",$1.3141 to under $1.4301
FRANKSTON ISD,001904,001 ANDERSON,07,Not Rated: Declared State of Disaster,3,785,9.7,7.8,77.1,0.8,0.9,0,3.8,53.6,2.8,11.6,2.8,26.4,9,95.1,0.0,16.7,96.7,100,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1,27.4,991,-1,124.1,63.8,2.4,2.5,5.4,51.4,15.3,23,93786,89867,63454,50251,11.5,6.3,12.3,44.3,10.9,26.2,24,7.8,0,92.2,0,0,0,0,84.9,5.7,0.8,0,8.6,0,302940,1.539,10151462,12642,9102620,54.6,38.8,6.6,1048842,2851759,0,10138713,8802724,10962,52.4,10.8,5.3,12,19.5,4611747,5743,44.8,8.3,4.3,0,6.3,0.1,6.5,0.7,1.3,27.8,500 to 999,Rural,"$288,727 to < $317,442",$1.4301 and over
NECHES ISD,001906,001 ANDERSON,07,Not Rated: Declared State of Disaster,2,352,7.1,13.1,75.9,0.6,0,0,3.4,47.4,2,7.1,2,45.5,6.5,95.9,0.0,91.7,95.8,100,22,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72.7,50,1065,-1,64.1,34.5,0.8,4.7,1.6,53.8,14,25.1,125006,79442,72643,53354,12.4,5.5,10.2,20.3,14.6,4.3,3,2.9,0,97.1,0,0,0,0,79.4,5.3,0.7,0,12.7,1.9,279213,1.458,4660326,12733,4136672,58.4,34.9,6.7,523654,677808,0,4561892,4021890,10989,51.9,8.2,9.4,11.8,18.7,2087166,5703,37.3,11.1,10,0.1,4.1,0.4,0,1.2,0.7,35.1,Under 500,Rural,"$266,163 to < $288,727",$1.4301 and over
PALESTINE ISD,001907,001 ANDERSON,07,Not Rated: Declared State of Disaster,6,3434,26.2,42.3,26.6,0.2,0.9,0.1,3.8,79.6,17.3,11.6,16.1,32.3,2.5,95.8,0.1,95.8,99.5,99.1,207,189,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40.6,41.7,1028,22.1,533.8,257.7,2,3.4,7.5,48.3,20,18.9,94105,78580,63390,47212,31.1,6.4,13.3,48,9.7,15,26.5,10.5,12.8,74.9,0.4,0,0,1.5,69.3,11.9,7.4,1.9,8.4,1.2,307828,1.53,43346504,12790,38915323,44.8,37.8,17.5,4431181,9790806,0,42112619,36374344,10733,51.7,9.1,6.1,11.5,21.6,18807861,5550,42.7,6.7,8.7,0.6,4.5,0.1,3.3,0.8,2.5,30.1,"3,000 to 4,999",Independent Town,"$288,727 to < $317,442",$1.4301 and over
WESTWOOD ISD,001908,001 ANDERSON,07,Not Rated: Declared State of Disaster,4,1514,19.6,24.4,50.7,0.7,0.4,0,4.2,64.1,6.1,14,5.5,26.9,2.8,95.6,0.5,96.1,99,99,72,65,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,44.4,31.3,1024,20.6,245.9,113.4,1.6,2.5,3.7,46.1,19.7,26.3,102933,75947,58834,45862,22,6.2,13.4,39.2,10.6,17.5,38.1,6.5,2.6,88.2,0.9,0.9,0,0.9,80.9,5.2,3.8,0.3,6.5,3.2,318277,1.17,16796941,11065,16776819,50.7,38.7,10.6,20122,4450157,0,16456069,15231722,10034,52.4,7.9,6.7,10.8,22.1,7982756,5259,42,9.5,9.5,0.2,3.1,0.2,4.2,1,0,30.2,"1,000 to 1,599",Non-metropolitan Stable,"$317,442 to < $337,807",Under $1.1701
SLOCUM ISD,001909,001 ANDERSON,07,Not Rated: Declared State of Disaster,2,381,0.8,8.9,86.1,0,0.5,0,3.7,41.7,0.3,13.4,0.3,42,3.9,97.4,0.0,100,100,100,22,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,90.9,45,1055,20.4,68.3,40.3,2.9,2.9,4,58.9,7,24.1,79384,81404,57589,51951,2.8,5.6,9.5,19.9,14.6,18,12.4,0,0,97.5,0,0,0,2.5,59.6,3.7,20.2,0,11.4,5.2,278764,1.188,4784513,11785,4699486,61.3,32.3,6.4,85027,996089,0,4622684,4151210,10225,62.5,6.6,5.9,9.5,15.5,2593220,6387,42.1,9.3,14.8,0.3,6.5,0.3,2.6,0.8,0,23.5,Under 500,Rural,"$266,163 to < $288,727",$1.1701 to under $1.3141
ANDREWS ISD,002901,002 ANDREWS,18,Not Rated: Declared State of Disaster,6,4352,0.6,68.5,28.4,0.4,0.3,0,1.7,48,13.2,8.5,14.9,23.8,6,96.1,0.4,93.8,98.3,96.3,272,230,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.1,33.6,1027,20.5,546.1,279,1.3,3,6,51.1,13.3,25.3,126420,84903,70330,61737,39.5,8,15.6,23.3,13.8,25.3,15.1,1.4,24.5,71.5,0.4,0.7,0,1.4,71.2,6.5,4.4,8.9,5,4.1,930152,1.2,51424092,11920,42757080,10.1,83.3,6.6,8667012,24073970,0,50864709,40057067,9285,55.4,7.6,5.3,11.3,20.3,22190961,5144,43.7,10.7,10.2,0.6,2.4,0.6,3.9,0.6,0,27.3,"3,000 to 4,999",Other Central City Suburban,"$847,341 and over",$1.1701 to under $1.3141
PINEYWOODS COMMUNITY ACADEMY,003801,003 ANGELINA,07,Not Rated: Declared State of Disaster,3,1041,15.1,28.1,52.2,0.1,1.2,0.1,3.3,53.3,4.4,9.1,4.4,16.3,9.3,96.1,0.0,100,97.9,100,55,49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,81.8,26.7,987,-1,132.2,64.3,3,3.8,9.6,48.6,9.6,25.3,104125,85486,59086,52329,27.1,7.9,16.2,34.2,9.4,26.9,32.3,9.3,9.3,81.3,0,0,0,0,87.9,5.6,2.9,0,2,1.6,0,0,10687971,10458,10687971,88.9,3.9,7.2,0,0,4610555,9611739,9395002,9193,60.2,10.9,7.9,7.5,13.5,5655779,5534,54.6,6.1,10.8,0,0.2,0.6,1.5,0,0.3,25.9,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
HUDSON ISD,003902,003 ANGELINA,07,Not Rated: Declared State of Disaster,5,2945,7,26.4,62,0.7,1.2,0,2.7,52.9,6.2,9,5.8,34.5,5.5,95.9,1.3,93.6,98.5,96.3,208,169,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,64.9,47.4,1078,22,410,202.7,1,3.7,5.7,49.4,8,32.3,116197,77874,65350,53958,17.8,7.2,14.5,25.3,13.3,22.4,13.3,1,4.9,94.1,0,0,0,0,64.2,12.9,7.3,0.7,8.5,6.5,163786,1.28,31602638,10687,29860984,62.3,27.9,9.8,1741654,6886434,0,30727890,26374102,8919,58.7,4.4,6.3,10.9,19.8,15475705,5234,40.7,9.5,9.1,0.7,4.6,3.6,2.2,1.7,1.9,26.1,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.1701 to under $1.3141
